speciality,skills,job_count,pay_range,competition,payment_status,duration,client_spent
Knowledge Representation,"['Neo4j', 'Java', 'Python', 'Graph Database', 'Natural Language Processing']",388,"([0.0, 15.0, 0.0, 20.0, 0.0, 0.0, 5.0, 0.0, 10.0, 15.0, 0.0, 20.0, 5.0, 5.0, 0.0, 0.0, 0.0, 5.0, 10.0, 0.0, 10.0, 35.0, 25.0, 30.0, 0.0, 0.0, 0.0, 15.0, 10.0, 10.0, 0.0, 5.0, 0.0, 50.0, 25.0, 0.0, 10.0, 20.0, 30.0, 0.0, 10.0, 50.0, 0.0, 25.0, 5.0, 25.0, 30.0, 30.0, 7.0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 10.0, 15.0, 20.0, 30.0, 14.0, 0.0, 6.0, 30.0, 15.0, 20.0, 0.0, 10.0, 0.0, 0.0, 25.0, 15.0, 0.0, 20.0, 15.0, 0.0, 15.0, 15.0, 0.0, 0.0, 30.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 3.0, 0.0, 0.0, 15.0, 0.0, 40.0, 20.0, 10.0, 20.0, 15.0, 10.0, 0.0, 50.0, 0.0, 15.0, 15.0, 0.0, 8.0, 15.0, 0.0, 0.0, 25.0, 15.0, 3.0, 10.0, 20.0, 5.0, 0.0, 20.0, 15.0, 35.0, 30.0, 0.0, 0.0, 25.0, 30.0, 0.0, 40.0, 70.0, 0.0, 30.0, 0.0, 0.0, 30.0, 12.0, 0.0, 0.0, 5.0, 20.0, 0.0, 15.0, 0.0, 15.0, 15.0, 20.0, 10.0, 5.0, 5.0, 15.0, 10.0, 12.0, 0.0, 18.0, 15.0, 0.0, 25.0, 0.0, 10.0, 15.0, 15.0, 0.0, 0.0, 20.0, 25.0, 15.0, 15.0, 15.0, 30.0, 0.0, 0.0, 5.0, 0.0, 15.0, 0.0, 22.0, 18.0, 0.0, 25.0, 25.0, 15.0, 0.0, 0.0, 0.0, 0.0, 21.0, 60.0, 0.0, 20.0, 15.0, 5.0, 20.0, 0.0, 4.0, 0.0, 0.0, 27.0, 3.0, 30.0, 20.0, 0.0, 0.0, 3.0, 0.0, 0.0, 15.0, 0.0, 10.0, 15.0, 15.0, 0.0, 0.0, 0.0, 0.0, 22.0, 8.0, 25.0, 8.0, 30.0, 20.0, 40.0, 10.0, 8.0, 15.0, 20.0, 20.0, 25.0, 10.0, 0.0, 5.0, 15.0, 15.0, 0.0, 0.0, 15.0, 40.0, 0.0, 9.0, 0.0, 20.0, 0.0, 10.0, 15.0, 0.0, 0.0, 15.0, 0.0, 17.0, 5.0, 0.0, 30.0, 40.0, 0.0, 0.0, 25.0, 0.0, 20.0, 15.0, 25.0, 0.0, 12.0, 15.0, 30.0, 5.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 20.0, 15.0, 0.0, 0.0, 50.0, 10.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 20.0], [45.0, 25.0])",4106,1.0,14,33060963.049999993
Machine Learning,"['Bayesian Statistics', 'Hyperparameter Tuning', 'K-Means Clustering', 'OpenAI Embeddings', 'Support Vector Machine', 'Transformer Model', 'Computer Vision', 'Deep Learning', 'Feature Extraction', 'Image Processing', 'Image Recognition', 'Natural Language Generation', 'Natural Language Processing', 'Reinforcement Learning', 'Unsupervised Learning', 'Scrapy', 'Apache Spark', 'pandas', 'PyTorch', 'TensorFlow', 'AI Builder', 'Amazon SageMaker', 'ArcGIS', 'Databricks Platform', 'deeplearn.js', 'Flask', 'Keras', 'Looker Studio', 'MATLAB', 'OpenCV', 'Python Scikit-Learn', 'Streamlit', 'Tableau', 'Vertex AI', 'XGBoost', 'AI Agent Development', 'AI App Development', 'AI Bot', 'AI Development', 'AI Model Development', 'AI Model Integration', 'AI Model Training', 'AI Product Management', 'AI Trading', 'AIOps', 'Chatbot', 'Data Augmentation', 'Data Preprocessing', 'Data Science', 'Data Science Consultation', 'Image Analysis', 'Machine Learning', 'Machine Learning Algorithm', 'Machine Learning Model', 'ML Automation', 'MLOps', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'Object Detection', 'Predictive Model', 'Time Series Analysis', 'Time Series Forecasting', 'Java', 'SQL', 'Python', 'C++', 'R']",810,"([0.0], [150.0])",8646,1.0,15,71661693.13
Database Administration,"['Database Design', 'Data Migration', 'Database Administration', 'Database Optimization', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Claris FileMaker', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'SAP HANA', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'SQL', 'ETL', 'Microsoft Windows PowerShell', 'SQL Server Integration Services', 'Transact-SQL']",315,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0])",2956,1.0,23,25497956.889999997
Business Applications Development,"['Business Applications Consultation', 'Business Applications Development', 'Software Integration', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Java', 'JavaScript', '.NET Framework', 'jQuery', 'PHP', 'SQL', 'Python', 'C#', 'CSS', 'HTML5', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'HR & Business Services', 'Legal', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Sales & Marketing', 'Science & Medicine', 'Transportation & Warehousing', 'Pardot', 'Salesforce Marketing Cloud', 'Salesforce Einstein', 'Salesforce Sales Cloud', 'Automated Workflow', 'CRM Development', 'Custom App', 'Customer Portal', 'Dashboard', 'HubSpot', 'Marketo', 'Pardot', 'Salesforce CRM', 'CRM Software', 'ERP Software', 'Marketing Automation Software', 'Microsoft Dynamics 365', 'Microsoft SharePoint', 'Office 365', 'Oracle NetSuite', 'SAP ERP', 'ServiceNow', 'Zoho Platform']",2212,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0])",20878,1.0,21,191766810.97
Systems Engineering,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Travel & Hospitality', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'Legal', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Science & Medicine', 'Transportation & Warehousing', 'Java', 'Apache HTTP Server', 'Amazon Web Services', 'Python', 'NGINX', 'Ansible', 'Docker', 'Google Cloud Platform', 'Kubernetes', 'Microsoft Active Directory', 'Microsoft Azure', 'Microsoft Exchange Server', 'Microsoft Windows PowerShell', 'Office 365', 'Terraform', 'Computer Systems Engineering', 'Information Systems Engineering', 'Systems Engineering', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Windows Server']",1231,"([0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 20.0, 25.0, 12.0, 35.0, 10.0, 0.0, 0.0, 15.0, 0.0, 25.0, 30.0, 0.0, 10.0, 15.0, 13.0, 0.0, 25.0, 30.0, 0.0, 0.0, 0.0, 10.0, 10.0, 25.0, 15.0, 30.0, 30.0, 5.0, 15.0, 10.0, 20.0, 0.0, 15.0, 15.0, 15.0, 15.0, 0.0, 10.0, 31.0, 25.0, 60.0, 15.0, 0.0, 15.0, 0.0, 0.0, 15.0, 0.0, 35.0, 40.0, 10.0, 10.0, 9.0, 0.0, 0.0, 3.0, 0.0, 0.0], [125.0])",11295,1.0,23,140150194.48
IT Compliance,"['Federal Information Security Management Act of 2002', 'FedRAMP', 'HIPAA', 'ISO 27001', 'SOC 2 Report', 'SaaS', 'Computer Network', 'Compliance Consultation', 'IT Compliance Audit', 'Risk Assessment']",41,"([5.0, 15.0, 20.0, 0.0], [90.0, 65.0, 70.0, 80.0])",457,1.0,28,6147282.49
Information Security,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Cybersecurity Management', 'Incident Response Plan', 'Information Security', 'Information Security Consultation', 'Penetration Testing', 'Security Assessment & Testing', 'Security Policies & Procedures Documentation', 'Security Testing', 'Vulnerability Assessment', 'Kali Linux', 'Nessus', 'AI Security', 'Application Security', 'Database Security', 'Encryption', 'Firewall', 'Network Security', 'System Security', 'VPN']",230,"([0.0, 20.0], [100.0])",1937,1.0,25,21502707.779999997
Network Security,"['Encryption', 'Firewall', 'Internet Protocol Security', 'Intrusion Prevention System', 'Network Security', 'VPN']",56,"([0.0], [70.0, 35.0, 0.0, 0.0, 15.0])",456,1.0,18,1731034.61
Network Administration,"['Network Administration', 'Network Design', 'Network Engineering', 'Network Monitoring', 'Network Security', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Network Equipment', 'Virtual LAN', 'VoIP', 'VPN', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Cisco Meraki', 'Cisco Prime', 'Cisco WLC', 'Fortinet', 'MikroTik', 'Ubiquiti', 'VMWare', 'Zabbix']",254,"([0.0], [150.0, 250.0])",2085,1.0,23,25187036.819999997
Systems Administration,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Security Management', 'System Administration', 'System Monitoring', 'Amazon Web Services', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Exchange Server', 'Office 365', 'Salesforce', 'Apache HTTP Server', 'Python', 'NGINX', 'DNS', 'Microsoft Active Directory', 'Microsoft Windows PowerShell', 'Server Virtualization', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Windows Server']",655,"([0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 20.0, 25.0, 12.0, 35.0, 10.0, 0.0, 0.0, 15.0, 0.0, 25.0, 30.0, 0.0, 10.0, 15.0, 13.0, 0.0, 25.0, 30.0, 0.0, 0.0, 0.0, 10.0, 10.0, 25.0, 15.0, 30.0, 30.0, 5.0, 15.0, 10.0, 20.0, 0.0, 15.0, 15.0, 15.0, 15.0, 0.0, 10.0, 31.0, 25.0, 60.0, 15.0, 0.0, 15.0, 0.0, 0.0, 15.0, 0.0, 35.0, 40.0, 10.0, 10.0, 9.0, 0.0, 0.0, 3.0, 0.0, 0.0], [125.0])",6521,1.0,18,75737065.32
Cloud Engineering,"['Cloud Architecture', 'Cloud Engineering', 'Cloud Implementation', 'Cloud Management', 'Cloud Testing', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'SaaS', 'Salesforce CRM', 'Amazon Web Services', 'Azure DevOps', 'DigitalOcean', 'Google Apps Script', 'Google Cloud Platform', 'Heroku', 'Microsoft Azure', 'Microsoft Dynamics 365', 'Office 365', 'Oracle NetSuite', 'SAP', 'Zoho Platform', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Amusement & Gambling', 'Art & Design', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Sales & Marketing', 'Science & Medicine', 'Transportation & Warehousing', 'Java', '.NET Framework', 'Ruby', 'MongoDB', 'Python', 'MySQL', 'Apache Airflow', 'AWS Amplify', 'AWS Glue', 'Computer Network', 'Linux', 'Ruby on Rails']",1302,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0])",11759,1.0,23,141736411.35
DevOps Engineering,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Git', 'Ansible', 'Apache Airflow', 'AWS Glue', 'Docker', 'Jenkins', 'Kubernetes', 'Terraform', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'AIOps', 'Application Release Automation', 'Automated Monitoring', 'CI/CD', 'Deployment Automation', 'DevOps Engineering', 'System Automation', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'HR & Business Services', 'Legal', 'Manufacturing & Construction', 'Military & Defense', 'Nonprofit Organization', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Supply Chain & Logistics', 'Transportation & Warehousing', 'Java', 'MongoDB', 'Amazon Web Services', 'Python', 'Node.js', 'Amazon ECS', 'Containerization', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Windows PowerShell']",1347,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0])",12363,1.0,22,142138587.6
Solution Architecture,"['Amazon Web Services', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Dynamics 365', 'Microsoft SharePoint', 'Office 365', 'Oracle NetSuite', 'Salesforce', 'SAP', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Amusement & Gambling', 'Aviation', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'Legal', 'Manufacturing & Construction', 'Military & Defense', 'Nonprofit Organization', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Science & Medicine', 'Transportation & Warehousing', 'Implementation', 'Solution Architecture Consultation', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Java', 'JavaScript', 'PHP', 'SQL', 'Web Service', 'Python', 'C#', 'Node.js', 'Apex', 'Cloud Computing', 'Elasticsearch', 'RESTful Architecture']",1891,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0])",18119,1.0,20,165522999.89
Blockchain & NFT Development,"['Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'Node.js', 'Golang', 'Rust', 'Solidity', 'Ethereum', 'Solana', '3D Avatar', 'Blockchain Architecture', 'Blockchain Development', 'Blockchain Security', 'Blockchain Tokenization', 'Crypto Exchange Platform', 'Cryptography', 'Discord Bot Development', 'NFT', 'Smart Contract']",1369,"([0.0], [55.0, 0.0, 120.0, 55.0, 0.0])",14177,1.0,16,84350647.6
Crypto Coins & Tokens,"['Bitcoin', 'Ethereum', 'Smart Contract']",12,"([0.0, 0.0, 0.0, 100.0, 75.0, 0.0], [40.0])",139,1.0,13,71055.35
Crypto Wallet Development,"['Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'HTML', 'Golang', 'Lua', 'Rust', 'Solidity', 'Crypto Wallet Development', 'iOS', 'Android', 'Microsoft Windows', 'Linux', 'macOS']",1643,"([0.0], [60.0])",17000,1.0,16,100175405.1
AI Chatbot Development,"['Chatbot Training', 'Chatbot Tuning', 'Natural Language Generation', 'Natural Language Processing', 'Java', 'PHP', 'Ruby', 'Python', 'C++', 'PyTorch', 'TensorFlow', 'ChatGPT', 'Dialogflow', 'GPT-4', 'ManyChat', 'Pinecone', 'Rasa', 'Chatbot Development', 'AI Chatbot', 'Chatbot Integration', 'Finance & Banking Chatbot', 'Scheduling & Assisting Chatbot', 'Social Media Chatbot']",678,"([0.0], [85.0, 0.0, 0.0])",7109,1.0,15,53037807.60999999
AI Integration,"['Integration Testing', 'AI Model Integration', 'API Integration', 'API Testing', 'Application Integration', 'Chatbot Integration', 'ChatGPT API Integration', 'Node.js', 'RESTful API', 'Amazon Bedrock', 'Azure OpenAI Service', 'ChatGPT API', 'GPT API', 'OpenAI API', 'REST API', 'Whisper API', 'Java', 'JavaScript', 'PHP', 'Ruby', 'Python', 'C#', 'C++', 'XML']",1324,"([0.0], [100.0, 70.0])",13794,1.0,16,83408291.52
Desktop Software Development,"['SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'Java', 'Objective-C', 'Swift', 'JavaScript', 'Python', 'C#', 'C++', 'C', 'Delphi', 'Visual Basic for Applications', 'Git', 'Apple Xcode', 'Azure DevOps', 'Docker', 'Electron', 'GitLab', 'Jenkins', 'JetBrains IntelliJ IDEA', 'Kubernetes', 'Prototyping', '.NET Framework', 'Desktop Application Testing', 'Qt Framework', 'Database Design', 'Application Integration', 'Application Security', 'Bug Fix', 'Desktop Application', 'Standalone Application', 'Microsoft Windows', 'Linux', 'macOS']",1131,"([0.0], [100.0, 70.0])",11773,1.0,16,90540243.22999999
Ecommerce Website Development,"['Wix', 'WordPress', 'ClickFunnels', 'BigCommerce', 'Commerce Cloud', 'Divi', 'Drupal', 'Elementor', 'Magento', 'Shopify', 'Shopify Plus', 'Squarespace', 'Webflow', 'WooCommerce', 'Web Design', 'Landing Page', 'API Integration', 'App Development', 'Bug Fix', 'Custom Ecommerce Platform Development', 'Design Enhancement', 'Ecommerce Backup & Migration', 'Ecommerce Development Consultation', 'Ecommerce Storefront Design', 'Ecommerce Website', 'Page Speed Optimization', 'Payment Gateway Integration', 'Platform Plugin', 'Responsive Design', 'Shopify Development', 'Shopify Templates', 'Theme Customization', 'Theme Development', 'Website Customization', 'Website Migration', 'Website Optimization', 'WordPress Plugin', 'PayPal', 'Stripe', 'Authorize.Net', 'Recharge', 'Square', 'Java', 'JavaScript', 'Angular', 'AngularJS', 'ASP.NET', 'Bootstrap', 'jQuery', 'PHP', 'React', 'Ruby', 'Vue.js', 'Python', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Node.js', 'Joomla', 'Laravel', 'Liquid', 'Ruby on Rails', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis']",3085,"([0.0], [100.0])",32521,1.0,17,207165539.85
Video Game Development,"['Java', 'Objective-C', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS 3', 'HTML5', 'C', 'Dart', 'Lua', 'Game Design Document', 'Game Development Bug Fix', 'Game Prototype', 'Game Testing', 'Mobile Game', 'Performance Optimization', 'Video Game', 'Unreal Engine', 'Godot', 'Roblox Studio', 'Unity', 'Hybrid App Development', 'iOS', 'Android', 'Native App Development', 'Microsoft Windows', 'iPadOS', 'Linux', 'macOS', 'Sports & Recreation', 'Puzzle', 'Online Multiplayer', 'Casual Game', 'In-App Purchases', 'User Authentication', 'User Profile Creation', 'Review or Feedback Collection', 'Social Media Account Integration', 'Bluetooth', 'Augmented Reality', 'Camera', 'Chat & Messaging Software', 'In-App Search', 'Location-Based Service', 'Map Integration', 'In-App Advertising', 'API Integration', 'Application Security', 'Click-to-Call', 'QR & Barcode Scanner', 'Ages 3+', 'Smartphone', 'Tablet', 'Virtual Reality', 'Gaming Console', 'Personal Computer']",1693,"([0.0], [100.0])",17559,1.0,15,95514907.94999999
